"pid","tpc","qn","ans"
1328,"Gender Inequality","heard-of-last-week","no"
1328,"Gender Inequality","how-often-talk-colleagues","2"
1328,"Gender Inequality","how-often-talk-family","3"
1328,"Gender Inequality","important","6"
1328,"Gender Inequality","interesting","4"
1328,"Gender Inequality","learn-more","6"
1328,"Gender Inequality","understandable","6"
1328,"Environment","controversial","7"
1328,"Environment","familiar","7"
1328,"Environment","heard-of-last-week","yes"
1328,"Environment","how-often-talk-colleagues","2"
1328,"Environment","how-often-talk-family","4"
1328,"Environment","important","7"
1328,"Environment","interesting","7"
1328,"Environment","learn-more","7"
1328,"Environment","understandable","6"
1328,"Politics","controversial","7"
1328,"Politics","familiar","6"
1328,"Politics","heard-of-last-week","yes"
1328,"Politics","how-often-talk-colleagues","1"
1328,"Politics","how-often-talk-family","3"
1328,"Politics","important","6"
1328,"Politics","interesting","5"
1328,"Politics","learn-more","6"
1328,"Politics","understandable","5"
1329,"Socioeconomic Inequality","controversial","7"
1329,"Socioeconomic Inequality","familiar","5"
1329,"Socioeconomic Inequality","heard-of-last-week","no"
1329,"Socioeconomic Inequality","how-often-talk-colleagues","6"
1329,"Socioeconomic Inequality","how-often-talk-family","5"
1329,"Socioeconomic Inequality","important","7"
1329,"Socioeconomic Inequality","interesting","5"
1329,"Socioeconomic Inequality","learn-more","7"
1329,"Socioeconomic Inequality","understandable","5"
1329,"Covid","controversial","6"
1329,"Covid","familiar","6"
1329,"Covid","heard-of-last-week","yes"
1329,"Covid","how-often-talk-colleagues","6"
1329,"Covid","how-often-talk-family","2"
1329,"Covid","important","7"
1329,"Covid","interesting","5"
1329,"Covid","learn-more","6"
1329,"Covid","understandable","5"
1329,"Neuroscience","controversial","1"
1329,"Neuroscience","familiar","5"
1329,"Neuroscience","heard-of-last-week","no"
1329,"Neuroscience","how-often-talk-colleagues","1"
1329,"Neuroscience","how-often-talk-family","1"
1329,"Neuroscience","important","7"
1329,"Neuroscience","interesting","6"
1329,"Neuroscience","learn-more","4"
1329,"Neuroscience","understandable","3"
1329,"Cognitive Skills","controversial","1"
1329,"Cognitive Skills","familiar","4"
1329,"Cognitive Skills","heard-of-last-week","no"
1329,"Cognitive Skills","how-often-talk-colleagues","1"
1329,"Cognitive Skills","how-often-talk-family","1"
1329,"Cognitive Skills","important","6"
1329,"Cognitive Skills","interesting","6"
1329,"Cognitive Skills","learn-more","6"
1329,"Cognitive Skills","understandable","2"
1329,"Addiction","controversial","5"
1329,"Addiction","familiar","6"
1329,"Addiction","heard-of-last-week","yes"
1329,"Addiction","how-often-talk-colleagues","3"
1329,"Addiction","how-often-talk-family","2"
1329,"Addiction","important","7"
1329,"Addiction","interesting","7"
1329,"Addiction","learn-more","7"
1329,"Addiction","understandable","4"
1329,"Health","controversial","1"
1329,"Health","familiar","6"
1329,"Health","heard-of-last-week","yes"
1329,"Health","how-often-talk-colleagues","5"
1329,"Health","how-often-talk-family","5"
1329,"Health","important","7"
1329,"Health","interesting","7"
1329,"Health","learn-more","7"
1329,"Health","understandable","5"
1329,"Sports","controversial","2"
1329,"Sports","familiar","6"
1329,"Sports","heard-of-last-week","yes"
1329,"Sports","how-often-talk-colleagues","7"
1329,"Sports","how-often-talk-family","7"
1329,"Sports","important","7"
1329,"Sports","interesting","7"
1329,"Sports","learn-more","6"
1329,"Sports","understandable","5"
1329,"Gender Inequality","controversial","7"
1329,"Gender Inequality","familiar","6"
1329,"Gender Inequality","heard-of-last-week","no"
1329,"Gender Inequality","how-often-talk-colleagues","5"
1329,"Gender Inequality","how-often-talk-family","2"
1329,"Gender Inequality","important","7"
1329,"Gender Inequality","interesting","6"
1329,"Gender Inequality","learn-more","7"
1329,"Gender Inequality","understandable","5"
1329,"Self-control","controversial","1"
1329,"Self-control","familiar","5"
1329,"Self-control","heard-of-last-week","no"
1329,"Self-control","how-often-talk-colleagues","3"
1329,"Self-control","how-often-talk-family","6"
1329,"Self-control","important","7"
1329,"Self-control","interesting","7"
1329,"Self-control","learn-more","7"
1329,"Self-control","understandable","5"
1329,"Environment","controversial","6"
1329,"Environment","familiar","7"
1329,"Environment","heard-of-last-week","yes"
1329,"Environment","how-often-talk-colleagues","4"
1329,"Environment","how-often-talk-family","2"
1329,"Environment","important","7"
1329,"Environment","interesting","6"
1329,"Environment","learn-more","6"
1329,"Environment","understandable","5"
1329,"AI","controversial","5"
1329,"AI","familiar","6"
1329,"AI","heard-of-last-week","yes"
1329,"AI","how-often-talk-colleagues","7"
1329,"AI","how-often-talk-family","4"
1329,"AI","important","7"
1329,"AI","interesting","7"
1329,"AI","learn-more","7"
1329,"AI","understandable","4"
1329,"Politics","controversial","7"
1329,"Politics","familiar","6"
1329,"Politics","heard-of-last-week","yes"
1329,"Politics","how-often-talk-colleagues","7"
1329,"Politics","how-often-talk-family","7"
1329,"Politics","important","6"
1329,"Politics","interesting","7"
1329,"Politics","learn-more","7"
1329,"Politics","understandable","6"
1330,"Environment","controversial","1"
1330,"Environment","familiar","5"
1330,"Environment","heard-of-last-week","yes"
1330,"Environment","how-often-talk-colleagues","3"
1330,"Environment","how-often-talk-family","4"
1330,"Environment","important","7"
1330,"Environment","interesting","6"
1330,"Environment","learn-more","6"
1330,"Environment","understandable","4"
1330,"Addiction","controversial","5"
1330,"Addiction","familiar","2"
1330,"Addiction","heard-of-last-week","no"
1330,"Addiction","how-often-talk-colleagues","2"
1330,"Addiction","how-often-talk-family","2"
1330,"Addiction","important","7"
1330,"Addiction","interesting","3"
1330,"Addiction","learn-more","2"
1330,"Addiction","understandable","2"
1330,"AI","controversial","7"
1330,"AI","familiar","5"
1330,"AI","heard-of-last-week","yes"
1330,"AI","how-often-talk-colleagues","3"
1330,"AI","how-often-talk-family","5"
1330,"AI","important","7"
1330,"AI","interesting","7"
1330,"AI","learn-more","7"
1330,"AI","understandable","5"
1330,"Politics","controversial","7"
1330,"Politics","familiar","5"
1330,"Politics","heard-of-last-week","yes"
1330,"Politics","how-often-talk-colleagues","3"
1330,"Politics","how-often-talk-family","5"
1330,"Politics","important","6"
1330,"Politics","interesting","5"
1330,"Politics","learn-more","4"
1330,"Politics","understandable","4"
1330,"Socioeconomic Inequality","controversial","7"
1330,"Socioeconomic Inequality","familiar","5"
1330,"Socioeconomic Inequality","heard-of-last-week","yes"
1330,"Socioeconomic Inequality","how-often-talk-colleagues","2"
1330,"Socioeconomic Inequality","how-often-talk-family","4"
1330,"Socioeconomic Inequality","important","7"
1330,"Socioeconomic Inequality","interesting","4"
1330,"Socioeconomic Inequality","learn-more","3"
1330,"Socioeconomic Inequality","understandable","6"
1330,"Neuroscience","controversial","2"
1330,"Neuroscience","familiar","3"
1330,"Neuroscience","heard-of-last-week","no"
1330,"Neuroscience","how-often-talk-colleagues","1"
1330,"Neuroscience","how-often-talk-family","2"
1330,"Neuroscience","important","7"
1330,"Neuroscience","interesting","5"
1330,"Neuroscience","learn-more","3"
1330,"Neuroscience","understandable","2"
1330,"Sports","controversial","1"
1330,"Sports","familiar","4"
1330,"Sports","heard-of-last-week","no"
1330,"Sports","how-often-talk-colleagues","2"
1330,"Sports","how-often-talk-family","2"
1330,"Sports","important","1"
1330,"Sports","interesting","1"
1330,"Sports","learn-more","1"
1330,"Sports","understandable","6"
1330,"Covid","controversial","7"
1330,"Covid","familiar","5"
1330,"Covid","heard-of-last-week","yes"
1330,"Covid","how-often-talk-colleagues","2"
1330,"Covid","how-often-talk-family","5"
1330,"Covid","important","7"
1330,"Covid","interesting","5"
1330,"Covid","learn-more","5"
1330,"Covid","understandable","5"
1330,"Cognitive Skills","controversial","1"
1330,"Cognitive Skills","familiar","4"
1330,"Cognitive Skills","heard-of-last-week","yes"
1330,"Cognitive Skills","how-often-talk-colleagues","2"
1330,"Cognitive Skills","how-often-talk-family","4"
1330,"Cognitive Skills","important","7"
1330,"Cognitive Skills","interesting","7"
1330,"Cognitive Skills","learn-more","4"
1330,"Cognitive Skills","understandable","2"
1330,"Health","controversial","7"
1330,"Health","familiar","3"
1330,"Health","heard-of-last-week","yes"
1330,"Health","how-often-talk-colleagues","3"
1330,"Health","how-often-talk-family","5"
1330,"Health","important","7"
1330,"Health","interesting","4"
1330,"Health","learn-more","5"
1330,"Health","understandable","3"
1330,"Gender Inequality","controversial","7"
1330,"Gender Inequality","familiar","5"
1330,"Gender Inequality","heard-of-last-week","yes"
1330,"Gender Inequality","how-often-talk-colleagues","2"
1330,"Gender Inequality","how-often-talk-family","5"
1330,"Gender Inequality","important","7"
1330,"Gender Inequality","interesting","3"
1330,"Gender Inequality","learn-more","5"
1330,"Gender Inequality","understandable","6"
1330,"Self-control","controversial","2"
1330,"Self-control","familiar","5"
1330,"Self-control","heard-of-last-week","no"
1330,"Self-control","how-often-talk-colleagues","2"
1330,"Self-control","how-often-talk-family","2"
1330,"Self-control","important","7"
1330,"Self-control","interesting","4"
1330,"Self-control","learn-more","2"
1330,"Self-control","understandable","6"
1331,"Politics","controversial","2"
1331,"Politics","familiar","5"
1331,"Politics","heard-of-last-week","yes"
1331,"Politics","how-often-talk-colleagues","2"
1331,"Politics","how-often-talk-family","2"
1331,"Politics","important","7"
1331,"Politics","interesting","5"
1331,"Politics","learn-more","4"
1331,"Politics","understandable","5"
1331,"Socioeconomic Inequality","controversial","3"
1331,"Socioeconomic Inequality","familiar","6"
1331,"Socioeconomic Inequality","heard-of-last-week","yes"
1331,"Socioeconomic Inequality","how-often-talk-colleagues","1"
1331,"Socioeconomic Inequality","how-often-talk-family","1"
1331,"Socioeconomic Inequality","important","7"
1331,"Socioeconomic Inequality","interesting","5"
1331,"Socioeconomic Inequality","learn-more","4"
1331,"Socioeconomic Inequality","understandable","5"
1331,"AI","controversial","5"
1331,"AI","familiar","4"
1331,"AI","heard-of-last-week","yes"
1331,"AI","how-often-talk-colleagues","1"
1331,"AI","how-often-talk-family","1"
1331,"AI","important","7"
1331,"AI","interesting","7"
1331,"AI","learn-more","6"
1331,"AI","understandable","4"
1331,"Neuroscience","controversial","1"
1331,"Neuroscience","familiar","4"
1331,"Neuroscience","heard-of-last-week","no"
1331,"Neuroscience","how-often-talk-colleagues","1"
1331,"Neuroscience","how-often-talk-family","1"
1331,"Neuroscience","important","7"
1331,"Neuroscience","interesting","7"
1331,"Neuroscience","learn-more","7"
1331,"Neuroscience","understandable","3"
1331,"Cognitive Skills","controversial","3"
1331,"Cognitive Skills","familiar","5"
1331,"Cognitive Skills","heard-of-last-week","no"
1331,"Cognitive Skills","how-often-talk-colleagues","1"
1331,"Cognitive Skills","how-often-talk-family","1"
1331,"Cognitive Skills","important","7"
1331,"Cognitive Skills","interesting","5"
1331,"Cognitive Skills","learn-more","5"
1331,"Cognitive Skills","understandable","4"
1331,"Self-control","controversial","3"
1331,"Self-control","familiar","4"
1331,"Self-control","heard-of-last-week","no"
1331,"Self-control","how-often-talk-colleagues","1"
1331,"Self-control","how-often-talk-family","1"
1331,"Self-control","important","7"
1331,"Self-control","interesting","6"
1331,"Self-control","learn-more","5"
1331,"Self-control","understandable","3"
1331,"Gender Inequality","controversial","2"
1331,"Gender Inequality","familiar","4"
1331,"Gender Inequality","heard-of-last-week","yes"
1331,"Gender Inequality","how-often-talk-colleagues","1"
1331,"Gender Inequality","how-often-talk-family","1"
1331,"Gender Inequality","important","7"
1331,"Gender Inequality","interesting","6"
1331,"Gender Inequality","learn-more","5"
1331,"Gender Inequality","understandable","7"
1331,"Covid","controversial","2"
1331,"Covid","familiar","6"
1331,"Covid","heard-of-last-week","yes"
1331,"Covid","how-often-talk-colleagues","1"
1331,"Covid","how-often-talk-family","1"
1331,"Covid","important","7"
1331,"Covid","interesting","7"
1331,"Covid","learn-more","5"
1331,"Covid","understandable","5"
1331,"Addiction","controversial","5"
1331,"Addiction","familiar","7"
1331,"Addiction","heard-of-last-week","no"
1331,"Addiction","how-often-talk-colleagues","2"
1331,"Addiction","how-often-talk-family","1"
1331,"Addiction","important","7"
1331,"Addiction","interesting","7"
1331,"Addiction","learn-more","7"
1331,"Addiction","understandable","5"
1331,"Environment","controversial","4"
1331,"Environment","familiar","5"
1331,"Environment","heard-of-last-week","yes"
1331,"Environment","how-often-talk-colleagues","1"
1331,"Environment","how-often-talk-family","1"
1331,"Environment","important","7"
1331,"Environment","interesting","7"
1331,"Environment","learn-more","5"
1331,"Environment","understandable","7"
1331,"Health","controversial","5"
1331,"Health","familiar","5"
1331,"Health","heard-of-last-week","yes"
1331,"Health","how-often-talk-colleagues","1"
1331,"Health","how-often-talk-family","1"
1331,"Health","important","7"
1331,"Health","interesting","7"
1331,"Health","learn-more","5"
1331,"Health","understandable","7"
1331,"Sports","controversial","4"
1331,"Sports","familiar","6"
1331,"Sports","heard-of-last-week","yes"
1331,"Sports","how-often-talk-colleagues","1"
1331,"Sports","how-often-talk-family","1"
1331,"Sports","important","7"
1331,"Sports","interesting","7"
1331,"Sports","learn-more","7"
1331,"Sports","understandable","7"
1332,"Politics","controversial","7"
1332,"Politics","familiar","5"
1332,"Politics","heard-of-last-week","yes"
1332,"Politics","how-often-talk-colleagues","2"
1332,"Politics","how-often-talk-family","6"
1332,"Politics","important","7"
1332,"Politics","interesting","6"
1332,"Politics","learn-more","5"
1332,"Politics","understandable","2"
1332,"Health","controversial","4"
1332,"Health","familiar","5"
1332,"Health","heard-of-last-week","yes"
1332,"Health","how-often-talk-colleagues","2"
1332,"Health","how-often-talk-family","3"
1332,"Health","important","7"
1332,"Health","interesting","5"
1332,"Health","learn-more","5"
1332,"Health","understandable","4"
1332,"Covid","controversial","7"
1332,"Covid","familiar","5"
1332,"Covid","heard-of-last-week","yes"
1332,"Covid","how-often-talk-colleagues","2"
1332,"Covid","how-often-talk-family","2"
1332,"Covid","important","6"
1332,"Covid","interesting","5"
1332,"Covid","learn-more","4"
1332,"Covid","understandable","6"
1332,"AI","controversial","6"
1332,"AI","familiar","5"
1332,"AI","heard-of-last-week","yes"
1332,"AI","how-often-talk-colleagues","2"
1332,"AI","how-often-talk-family","2"
1332,"AI","important","5"
1332,"AI","interesting","6"
1332,"AI","learn-more","6"
1332,"AI","understandable","3"
1332,"Addiction","controversial","4"
1332,"Addiction","familiar","5"
1332,"Addiction","heard-of-last-week","yes"
1332,"Addiction","how-often-talk-colleagues","1"
1332,"Addiction","how-often-talk-family","2"
1332,"Addiction","important","7"
1332,"Addiction","interesting","4"
1332,"Addiction","learn-more","4"
1332,"Addiction","understandable","3"
1332,"Socioeconomic Inequality","controversial","7"
1332,"Socioeconomic Inequality","familiar","4"
1332,"Socioeconomic Inequality","heard-of-last-week","no"
1332,"Socioeconomic Inequality","how-often-talk-colleagues","1"
1332,"Socioeconomic Inequality","how-often-talk-family","2"
1332,"Socioeconomic Inequality","important","6"
1332,"Socioeconomic Inequality","interesting","3"
1332,"Socioeconomic Inequality","learn-more","4"
1332,"Socioeconomic Inequality","understandable","3"
1332,"Environment","controversial","7"
1332,"Environment","familiar","6"
1332,"Environment","heard-of-last-week","yes"
1332,"Environment","how-often-talk-colleagues","1"
1332,"Environment","how-often-talk-family","3"
1332,"Environment","important","6"
1332,"Environment","interesting","5"
1332,"Environment","learn-more","5"
1332,"Environment","understandable","4"
1332,"Neuroscience","controversial","3"
1332,"Neuroscience","familiar","3"
1332,"Neuroscience","heard-of-last-week","no"
1332,"Neuroscience","how-often-talk-colleagues","1"
1332,"Neuroscience","how-often-talk-family","1"
1332,"Neuroscience","important","6"
1332,"Neuroscience","interesting","6"
1332,"Neuroscience","learn-more","4"
1332,"Neuroscience","understandable","2"
1332,"Sports","controversial","7"
1332,"Sports","familiar","6"
1332,"Sports","heard-of-last-week","yes"
1332,"Sports","how-often-talk-colleagues","5"
1332,"Sports","how-often-talk-family","4"
1332,"Sports","important","5"
1332,"Sports","interesting","6"
1332,"Sports","learn-more","6"
1332,"Sports","understandable","6"
1332,"Cognitive Skills","controversial","5"
1332,"Cognitive Skills","familiar","5"
1332,"Cognitive Skills","heard-of-last-week","yes"
1332,"Cognitive Skills","how-often-talk-colleagues","1"
1332,"Cognitive Skills","how-often-talk-family","2"
1332,"Cognitive Skills","important","7"
1332,"Cognitive Skills","interesting","5"
1332,"Cognitive Skills","learn-more","5"
1332,"Cognitive Skills","understandable","5"
1332,"Self-control","controversial","3"
1332,"Self-control","familiar","5"
1332,"Self-control","heard-of-last-week","no"
1332,"Self-control","how-often-talk-colleagues","1"
1332,"Self-control","how-often-talk-family","1"
1332,"Self-control","important","6"
1332,"Self-control","interesting","4"
1332,"Self-control","learn-more","4"
1332,"Self-control","understandable","3"
1332,"Gender Inequality","controversial","7"
1332,"Gender Inequality","familiar","5"
1332,"Gender Inequality","heard-of-last-week","no"
1332,"Gender Inequality","how-often-talk-colleagues","1"
1332,"Gender Inequality","how-often-talk-family","1"
1332,"Gender Inequality","important","6"
1332,"Gender Inequality","interesting","5"
1332,"Gender Inequality","learn-more","4"
1332,"Gender Inequality","understandable","3"
1333,"AI","controversial","3"
1333,"AI","familiar","4"
1333,"AI","heard-of-last-week","yes"
1333,"AI","how-often-talk-colleagues","2"
1333,"AI","how-often-talk-family","2"
1333,"AI","important","4"
1333,"AI","interesting","4"
1333,"AI","learn-more","3"
1333,"AI","understandable","5"
1333,"Gender Inequality","controversial","1"
1333,"Gender Inequality","familiar","4"
1333,"Gender Inequality","heard-of-last-week","yes"
1333,"Gender Inequality","how-often-talk-colleagues","4"
1333,"Gender Inequality","how-often-talk-family","3"
1333,"Gender Inequality","important","6"
1333,"Gender Inequality","interesting","3"
1333,"Gender Inequality","learn-more","5"
1333,"Gender Inequality","understandable","5"
1333,"Socioeconomic Inequality","controversial","2"
1333,"Socioeconomic Inequality","familiar","3"
1333,"Socioeconomic Inequality","heard-of-last-week","yes"
1333,"Socioeconomic Inequality","how-often-talk-colleagues","4"
1333,"Socioeconomic Inequality","how-often-talk-family","4"
1333,"Socioeconomic Inequality","important","5"
1333,"Socioeconomic Inequality","interesting","3"
1333,"Socioeconomic Inequality","learn-more","4"
1333,"Socioeconomic Inequality","understandable","3"
1333,"Addiction","controversial","2"
1333,"Addiction","familiar","4"
1333,"Addiction","heard-of-last-week","yes"
1333,"Addiction","how-often-talk-colleagues","4"
1333,"Addiction","how-often-talk-family","3"
1333,"Addiction","important","6"
1333,"Addiction","interesting","4"
1333,"Addiction","learn-more","4"
1333,"Addiction","understandable","3"
1333,"Politics","controversial","4"
1333,"Politics","familiar","4"
1333,"Politics","heard-of-last-week","yes"
1333,"Politics","how-often-talk-colleagues","5"
1333,"Politics","how-often-talk-family","4"
1333,"Politics","important","6"
1333,"Politics","interesting","5"
1333,"Politics","learn-more","6"
1333,"Politics","understandable","3"
1333,"Cognitive Skills","controversial","4"
1333,"Cognitive Skills","familiar","3"
1333,"Cognitive Skills","heard-of-last-week","no"
1333,"Cognitive Skills","how-often-talk-colleagues","4"
1333,"Cognitive Skills","how-often-talk-family","4"
1333,"Cognitive Skills","important","5"
1333,"Cognitive Skills","interesting","3"
1333,"Cognitive Skills","learn-more","4"
1333,"Cognitive Skills","understandable","5"
1333,"Covid","controversial","3"
1333,"Covid","familiar","5"
1333,"Covid","heard-of-last-week","yes"
1333,"Covid","how-often-talk-colleagues","4"
1333,"Covid","how-often-talk-family","4"
1333,"Covid","important","5"
1333,"Covid","interesting","4"
1333,"Covid","learn-more","6"
1333,"Covid","understandable","5"
1333,"Environment","controversial","3"
1333,"Environment","familiar","4"
1333,"Environment","heard-of-last-week","yes"
1333,"Environment","how-often-talk-colleagues","4"
1333,"Environment","how-often-talk-family","3"
1333,"Environment","important","4"
1333,"Environment","interesting","3"
1333,"Environment","learn-more","3"
1333,"Environment","understandable","4"
1333,"Self-control","controversial","4"
1333,"Self-control","familiar","4"
1333,"Self-control","heard-of-last-week","yes"
1333,"Self-control","how-often-talk-colleagues","5"
1333,"Self-control","how-often-talk-family","3"
1333,"Self-control","important","4"
1333,"Self-control","interesting","3"
1333,"Self-control","learn-more","5"
1333,"Self-control","understandable","4"
1333,"Neuroscience","controversial","2"
1333,"Neuroscience","familiar","2"
1333,"Neuroscience","heard-of-last-week","no"
1333,"Neuroscience","how-often-talk-colleagues","1"
1333,"Neuroscience","how-often-talk-family","1"
1333,"Neuroscience","important","2"
1333,"Neuroscience","interesting","2"
1333,"Neuroscience","learn-more","3"
1333,"Neuroscience","understandable","2"
1333,"Health","controversial","1"
1333,"Health","familiar","2"
1333,"Health","heard-of-last-week","yes"
1333,"Health","how-often-talk-colleagues","3"
1333,"Health","how-often-talk-family","4"
1333,"Health","important","6"
1333,"Health","interesting","2"
1333,"Health","learn-more","4"
1333,"Health","understandable","2"
1333,"Sports","controversial","1"
1333,"Sports","familiar","1"
1333,"Sports","heard-of-last-week","yes"
1333,"Sports","how-often-talk-colleagues","1"
1333,"Sports","how-often-talk-family","1"
1333,"Sports","important","1"
1333,"Sports","interesting","1"
1333,"Sports","learn-more","1"
1333,"Sports","understandable","1"
1334,"Environment","controversial","3"
1334,"Environment","familiar","5"
1334,"Environment","heard-of-last-week","yes"
1334,"Environment","how-often-talk-colleagues","1"
1334,"Environment","how-often-talk-family","2"
1334,"Environment","important","7"
1334,"Environment","interesting","5"
1334,"Environment","learn-more","4"
1334,"Environment","understandable","1"
1334,"Sports","controversial","1"
1334,"Sports","familiar","7"
1334,"Sports","heard-of-last-week","yes"
1334,"Sports","how-often-talk-colleagues","1"
1334,"Sports","how-often-talk-family","3"
1334,"Sports","important","1"
1334,"Sports","interesting","5"
1334,"Sports","learn-more","1"
1334,"Sports","understandable","6"
1334,"Politics","controversial","6"
1334,"Politics","familiar","4"
1334,"Politics","heard-of-last-week","yes"
1334,"Politics","how-often-talk-colleagues","2"
1334,"Politics","how-often-talk-family","2"
1334,"Politics","important","6"
1334,"Politics","interesting","1"
1334,"Politics","learn-more","1"
1334,"Politics","understandable","2"
1334,"Addiction","controversial","2"
1334,"Addiction","familiar","1"
1334,"Addiction","heard-of-last-week","yes"
1334,"Addiction","how-often-talk-colleagues","1"
1334,"Addiction","how-often-talk-family","1"
1334,"Addiction","important","7"
1334,"Addiction","interesting","1"
1334,"Addiction","learn-more","1"
1334,"Addiction","understandable","1"
1334,"Health","controversial","1"
1334,"Health","familiar","4"
1334,"Health","heard-of-last-week","yes"
1334,"Health","how-often-talk-colleagues","1"
1334,"Health","how-often-talk-family","4"
1334,"Health","important","7"
1334,"Health","interesting","6"
1334,"Health","learn-more","6"
1334,"Health","understandable","2"
1334,"Neuroscience","controversial","1"
1334,"Neuroscience","familiar","6"
1334,"Neuroscience","heard-of-last-week","yes"
1334,"Neuroscience","how-often-talk-colleagues","4"
1334,"Neuroscience","how-often-talk-family","6"
1334,"Neuroscience","important","7"
1334,"Neuroscience","interesting","7"
1334,"Neuroscience","learn-more","7"
1334,"Neuroscience","understandable","1"
1334,"Gender Inequality","controversial","6"
1334,"Gender Inequality","familiar","3"
1334,"Gender Inequality","heard-of-last-week","no"
1334,"Gender Inequality","how-often-talk-colleagues","1"
1334,"Gender Inequality","how-often-talk-family","1"
1334,"Gender Inequality","important","5"
1334,"Gender Inequality","interesting","1"
1334,"Gender Inequality","learn-more","2"
1334,"Gender Inequality","understandable","4"
1334,"Cognitive Skills","controversial","2"
1334,"Cognitive Skills","familiar","6"
1334,"Cognitive Skills","heard-of-last-week","yes"
1334,"Cognitive Skills","how-often-talk-colleagues","4"
1334,"Cognitive Skills","how-often-talk-family","6"
1334,"Cognitive Skills","important","7"
1334,"Cognitive Skills","interesting","6"
1334,"Cognitive Skills","learn-more","6"
1334,"Cognitive Skills","understandable","4"
1334,"Self-control","controversial","2"
1334,"Self-control","familiar","2"
1334,"Self-control","heard-of-last-week","no"
1334,"Self-control","how-often-talk-colleagues","1"
1334,"Self-control","how-often-talk-family","1"
1334,"Self-control","important","6"
1334,"Self-control","interesting","1"
1334,"Self-control","learn-more","6"
1334,"Self-control","understandable","3"
1334,"AI","controversial","5"
1334,"AI","familiar","4"
1334,"AI","heard-of-last-week","yes"
1334,"AI","how-often-talk-colleagues","1"
1334,"AI","how-often-talk-family","4"
1334,"AI","important","5"
1334,"AI","interesting","7"
1334,"AI","learn-more","7"
1334,"AI","understandable","3"
1334,"Socioeconomic Inequality","controversial","6"
1334,"Socioeconomic Inequality","familiar","2"
1334,"Socioeconomic Inequality","heard-of-last-week","no"
1334,"Socioeconomic Inequality","how-often-talk-colleagues","1"
1334,"Socioeconomic Inequality","how-often-talk-family","1"
1334,"Socioeconomic Inequality","important","7"
1334,"Socioeconomic Inequality","interesting","1"
1334,"Socioeconomic Inequality","learn-more","2"
1334,"Socioeconomic Inequality","understandable","2"
1334,"Covid","controversial","4"
1334,"Covid","familiar","6"
1334,"Covid","heard-of-last-week","no"
1334,"Covid","how-often-talk-colleagues","1"
1334,"Covid","how-often-talk-family","1"
1334,"Covid","important","4"
1334,"Covid","interesting","1"
1334,"Covid","learn-more","1"
1334,"Covid","understandable","1"
1335,"Sports","controversial","5"
1335,"Sports","familiar","6"
1335,"Sports","heard-of-last-week","yes"
1335,"Sports","how-often-talk-colleagues","2"
1335,"Sports","how-often-talk-family","2"
1335,"Sports","important","5"
1335,"Sports","interesting","4"
1335,"Sports","learn-more","2"
1335,"Sports","understandable","5"
1335,"Health","controversial","4"
1335,"Health","familiar","6"
1335,"Health","heard-of-last-week","yes"
1335,"Health","how-often-talk-colleagues","7"
1335,"Health","how-often-talk-family","6"
1335,"Health","important","7"
1335,"Health","interesting","6"
1335,"Health","learn-more","6"
1335,"Health","understandable","6"
1335,"Covid","controversial","7"
1335,"Covid","familiar","6"
1335,"Covid","heard-of-last-week","yes"
1335,"Covid","how-often-talk-colleagues","3"
1335,"Covid","how-often-talk-family","2"
1335,"Covid","important","2"
1335,"Covid","interesting","2"
1335,"Covid","learn-more","1"
1335,"Covid","understandable","6"
1335,"Socioeconomic Inequality","controversial","6"
1335,"Socioeconomic Inequality","familiar","6"
1335,"Socioeconomic Inequality","heard-of-last-week","yes"
1335,"Socioeconomic Inequality","how-often-talk-colleagues","5"
1335,"Socioeconomic Inequality","how-often-talk-family","5"
1335,"Socioeconomic Inequality","important","7"
1335,"Socioeconomic Inequality","interesting","6"
1335,"Socioeconomic Inequality","learn-more","6"
1335,"Socioeconomic Inequality","understandable","6"
1335,"Cognitive Skills","controversial","4"
1335,"Cognitive Skills","familiar","5"
1335,"Cognitive Skills","heard-of-last-week","yes"
1335,"Cognitive Skills","how-often-talk-colleagues","6"
1335,"Cognitive Skills","how-often-talk-family","5"
1335,"Cognitive Skills","important","6"
1335,"Cognitive Skills","interesting","7"
1335,"Cognitive Skills","learn-more","7"
1335,"Cognitive Skills","understandable","6"
1335,"Environment","controversial","3"
1335,"Environment","familiar","6"
1335,"Environment","heard-of-last-week","yes"
1335,"Environment","how-often-talk-colleagues","5"
1335,"Environment","how-often-talk-family","5"
1335,"Environment","important","7"
1335,"Environment","interesting","7"
1335,"Environment","learn-more","6"
1335,"Environment","understandable","6"
1335,"Self-control","controversial","3"
1335,"Self-control","familiar","6"
1335,"Self-control","heard-of-last-week","no"
1335,"Self-control","how-often-talk-colleagues","2"
1335,"Self-control","how-often-talk-family","2"
1335,"Self-control","important","6"
1335,"Self-control","interesting","6"
1335,"Self-control","learn-more","5"
1335,"Self-control","understandable","5"
1335,"Gender Inequality","controversial","6"
1335,"Gender Inequality","familiar","6"
1335,"Gender Inequality","heard-of-last-week","yes"
1335,"Gender Inequality","how-often-talk-colleagues","6"
1335,"Gender Inequality","how-often-talk-family","2"
1335,"Gender Inequality","important","5"
1335,"Gender Inequality","interesting","4"
1335,"Gender Inequality","learn-more","2"
1335,"Gender Inequality","understandable","7"
1335,"Addiction","controversial","7"
1335,"Addiction","familiar","7"
1335,"Addiction","heard-of-last-week","yes"
1335,"Addiction","how-often-talk-colleagues","7"
